date,sector,open,high,low,close
2020-01-15,Auto,18511.8,18807.36,17727.56,18786.98
2020-01-31,Auto,18811.06,18980.21,18130.34,18161.18
2020-02-15,Auto,18159.61,18440.55,17561.54,17589.4
2020-02-29,Auto,17744.68,17744.68,15521.13,15568.5
2020-03-15,Auto,15735.25,15895.16,12062.02,13960.21
2020-03-31,Auto,13672.33,13672.33,10141.45,10746.15
2020-04-15,Auto,10773.34,12732.61,10256.8,12146.82
2020-04-30,Auto,12041.98,13403.91,11928.35,13349.86
2020-05-15,Auto,12908.56,13650.69,12133.88,13024.51
2020-05-31,Auto,13073.9,14146.02,12267.96,14094.69
2020-06-15,Auto,14251.26,15260.59,13825.11,14606.94
2020-06-30,Auto,14838.4,15715.38,14405.65,15275.21
2020-07-15,Auto,15300.26,16451.03,15237.45,15689.49
2020-07-31,Auto,15759.67,16892.87,15522.64,16489.64
2020-08-15,Auto,16594.23,17802.03,16363.94,17297.68
2020-08-31,Auto,17425.03,18537.82,17281.23,17685.49
2020-09-15,Auto,17744.75,18329.41,17579.58,18160.14
2020-09-30,Auto,18158.97,18582.37,16734.64,17876.44
2020-10-15,Auto,18061.03,18656.34,17810.35,17936.9
2020-10-31,Auto,17979.06,18358.17,17414.43,17517.08
2020-11-15,Auto,17682.33,18936.13,17371.45,18855.18
2020-11-30,Auto,18919.87,20319.22,18834.34,20128.83
2020-12-15,Auto,20388.76,21382.37,20069.77,20702.22
2020-12-31,Auto,20869.08,21035.47,19316.66,20811.49
2021-01-15,Auto,20865.19,23214.69,20853.14,22961.57
2021-01-31,Auto,22874.19,24305.18,22049.97,22127.69
2021-02-15,Auto,22352.19,25072.54,21934.94,24745.56
2021-02-28,Auto,24922.29,24937.97,22658.2,22937.66
2021-03-15,Auto,23179.64,24381.54,22977.24,23331.27
2021-03-31,Auto,23456.17,23475.01,21683.38,22252.21
2021-04-15,Auto,22433.5,22715.29,21055.06,21870.5
2021-04-30,Auto,21899.02,22480.21,21189.02,21667.8
2021-05-15,Auto,21435.0,22607.88,21322.39,22031.17
2021-05-31,Auto,22129.06,23711.34,21968.12,23541.12
2021-06-15,Auto,23607.03,24423.56,23366.39,24092.52
2021-06-30,Auto,24102.87,24127.37,22908.79,23771.76
2021-07-15,Auto,23862.37,24232.97,23142.56,23305.72
2021-07-31,Auto,23350.06,23388.7,22197.91,22489.21
2021-08-15,Auto,22737.89,23294.59,22423.65,22780.78
2021-08-31,Auto,22871.02,22874.61,21808.92,22571.39
