Date,sector ,Net FPI Change
15-Jan-20,Airlines,
31-Jan-20,Airlines,-575
15-Feb-20,Airlines,194
29-Feb-20,Airlines,-982
15-Mar-20,Airlines,-1948
31-Mar-20,Airlines,98
15-Apr-20,Airlines,-320
30-Apr-20,Airlines,-223
15-May-20,Airlines,150
31-May-20,Airlines,-47
15-Jun-20,Airlines,393
30-Jun-20,Airlines,85
15-Jul-20,Airlines,-257
31-Jul-20,Airlines,-32
15-Aug-20,Airlines,849
31-Aug-20,Airlines,482
15-Sep-20,Airlines,914
30-Sep-20,Airlines,-428
15-Oct-20,Airlines,455
31-Oct-20,Airlines,65
15-Nov-20,Airlines,2559
30-Nov-20,Airlines,-368
15-Dec-20,Airlines,1190
31-Dec-20,Airlines,557
15-Jan-21,Airlines,-605
31-Jan-21,Airlines,-545
15-Feb-21,Airlines,597
28-Feb-21,Airlines,-177
15-Mar-21,Airlines,501
31-Mar-21,Airlines,325
15-Apr-21,Airlines,-6
30-Apr-21,Airlines,330
15-May-21,Airlines,495
31-May-21,Airlines,585
15-Jun-21,Airlines,265
30-Jun-21,Airlines,-611
15-Jul-21,Airlines,823
31-Jul-21,Airlines,-1380
15-Aug-21,Airlines,175
31-Aug-21,Airlines,1773
15-Sep-21,Airlines,430
30-Sep-21,Airlines,-125
15-Oct-21,Airlines,478
31-Oct-21,Airlines,735
15-Nov-21,Airlines,1387
30-Nov-21,Airlines,-3454
15-Dec-21,Airlines,363
31-Dec-21,Airlines,469
31-Jan-22,Airlines,-1343
15-Feb-22,Airlines,2312
28-Feb-22,Airlines,-2360
15-Mar-22,Airlines,-697
31-Mar-22,Airlines,1374
15-Apr-22,Airlines,-811
15-Jan-20,Airport Services,
31-Jan-20,Airport Services,-110
15-Feb-20,Airport Services,25
29-Feb-20,Airport Services,-339
15-Mar-20,Airport Services,-352
31-Mar-20,Airport Services,-55
15-Apr-20,Airport Services,99
30-Apr-20,Airport Services,29
15-May-20,Airport Services,169
31-May-20,Airport Services,109
15-Jun-20,Airport Services,217
30-Jun-20,Airport Services,-88
15-Jul-20,Airport Services,-80
31-Jul-20,Airport Services,278
15-Aug-20,Airport Services,-69
31-Aug-20,Airport Services,326
15-Sep-20,Airport Services,74
30-Sep-20,Airport Services,-107
15-Oct-20,Airport Services,9
31-Oct-20,Airport Services,15
15-Nov-20,Airport Services,115
30-Nov-20,Airport Services,335
15-Dec-20,Airport Services,308
31-Dec-20,Airport Services,-253
15-Jan-21,Airport Services,97
31-Jan-21,Airport Services,-345
15-Feb-21,Airport Services,256
28-Feb-21,Airport Services,93
15-Mar-21,Airport Services,261
31-Mar-21,Airport Services,-336
15-Apr-21,Airport Services,70
30-Apr-21,Airport Services,-116
15-May-21,Airport Services,384
31-May-21,Airport Services,80
15-Jun-21,Airport Services,704
30-Jun-21,Airport Services,211
15-Jul-21,Airport Services,-36
31-Jul-21,Airport Services,-413
15-Aug-21,Airport Services,-66
31-Aug-21,Airport Services,225
15-Sep-21,Airport Services,516
30-Sep-21,Airport Services,1182
15-Oct-21,Airport Services,833
31-Oct-21,Airport Services,-463
15-Nov-21,Airport Services,21
30-Nov-21,Airport Services,-405
15-Dec-21,Airport Services,790
31-Dec-21,Airport Services,786
31-Jan-22,Airport Services,-825
15-Feb-22,Airport Services,-251
28-Feb-22,Airport Services,-526
15-Mar-22,Airport Services,15
31-Mar-22,Airport Services,-40
15-Apr-22,Airport Services,336
30-Apr-22,Automobile and Auto Components,
15-May-22,Automobile and Auto Components,-15213
31-May-22,Automobile and Auto Components,22450
15-Jun-22,Automobile and Auto Components,-8655
30-Jun-22,Automobile and Auto Components,9600
15-Jul-22,Automobile and Auto Components,12635
31-Jul-22,Automobile and Auto Components,4501
15-Aug-22,Automobile and Auto Components,9979
31-Aug-22,Automobile and Auto Components,9045
15-Sep-22,Automobile and Auto Components,7043
30-Sep-22,Automobile and Auto Components,-13033
15-Oct-22,Automobile and Auto Components,-6732
31-Oct-22,Automobile and Auto Components,19661
15-Nov-22,Automobile and Auto Components,-3972
30-Nov-22,Automobile and Auto Components,3023
15-Dec-22,Automobile and Auto Components,-6474
31-Dec-22,Automobile and Auto Components,-6933
15-Jan-23,Automobile and Auto Components,2676
31-Jan-23,Automobile and Auto Components,11135
15-Feb-23,Automobile and Auto Components,-733
28-Feb-23,Automobile and Auto Components,-10436
15-Mar-23,Automobile and Auto Components,-6409
31-Mar-23,Automobile and Auto Components,-1785
15-Apr-23,Automobile and Auto Components,14875
30-Apr-23,Automobile and Auto Components,6690
15-May-23,Automobile and Auto Components,22300
31-May-23,Automobile and Auto Components,9851
15-Jun-23,Automobile and Auto Components,11265
30-Jun-23,Automobile and Auto Components,14524
15-Jul-23,Automobile and Auto Components,10719
31-Jul-23,Automobile and Auto Components,2553
15-Aug-23,Automobile and Auto Components,-7964
31-Aug-23,Automobile and Auto Components,8458
15-Sep-23,Automobile and Auto Components,14128
30-Sep-23,Automobile and Auto Components,-3902
15-Oct-23,Automobile and Auto Components,3893
31-Oct-23,Automobile and Auto Components,-11468
15-Nov-23,Automobile and Auto Components,15454
30-Nov-23,Automobile and Auto Components,20210
15-Dec-23,Automobile and Auto Components,14621
31-Dec-23,Automobile and Auto Components,11845
15-Jan-24,Automobile and Auto Components,-167
31-Jan-24,Automobile and Auto Components,9869
15-Feb-24,Automobile and Auto Components,18334
29-Feb-24,Automobile and Auto Components,12728
15-Mar-24,Automobile and Auto Components,-12823
31-Mar-24,Automobile and Auto Components,44343
15-Apr-24,Automobile and Auto Components,5558
30-Apr-24,Automobile and Auto Components,18404
15-May-24,Automobile and Auto Components,6231
31-May-24,Automobile and Auto Components,10518
15-Jun-24,Automobile and Auto Components,53868
30-Jun-24,Automobile and Auto Components,-6732
15-Jul-24,Automobile and Auto Components,5817
31-Jul-24,Automobile and Auto Components,27449
15-Aug-24,Automobile and Auto Components,-34528
31-Aug-24,Automobile and Auto Components,21801
15-Sep-24,Automobile and Auto Components,-13144
30-Sep-24,Automobile and Auto Components,36541
15-Oct-24,Automobile and Auto Components,-25336
31-Oct-24,Automobile and Auto Components,-56169
15-Nov-24,Automobile and Auto Components,-22111
30-Nov-24,Automobile and Auto Components,10044
15-Dec-24,Automobile and Auto Components,5355
31-Dec-24,Automobile and Auto Components,-21789
15-Jan-25,Automobile and Auto Components,-6736
31-Jan-25,Automobile and Auto Components,-3748
15-Feb-25,Automobile and Auto Components,-23421
28-Feb-25,Automobile and Auto Components,-35969
15-Jan-20,Automobiles & Auto Components,
31-Jan-20,Automobiles & Auto Components,-3986
15-Feb-20,Automobiles & Auto Components,-5153
29-Feb-20,Automobiles & Auto Components,-16790
15-Mar-20,Automobiles & Auto Components,-12763
31-Mar-20,Automobiles & Auto Components,-30241
15-Apr-20,Automobiles & Auto Components,11507
30-Apr-20,Automobiles & Auto Components,7735
15-May-20,Automobiles & Auto Components,-2569
31-May-20,Automobiles & Auto Components,9456
15-Jun-20,Automobiles & Auto Components,4708
30-Jun-20,Automobiles & Auto Components,6547
15-Jul-20,Automobiles & Auto Components,3929
31-Jul-20,Automobiles & Auto Components,8514
15-Aug-20,Automobiles & Auto Components,6117
31-Aug-20,Automobiles & Auto Components,3585
15-Sep-20,Automobiles & Auto Components,2826
30-Sep-20,Automobiles & Auto Components,-2323
15-Oct-20,Automobiles & Auto Components,3270
31-Oct-20,Automobiles & Auto Components,-4579
15-Nov-20,Automobiles & Auto Components,10830
30-Nov-20,Automobiles & Auto Components,11594
15-Dec-20,Automobiles & Auto Components,9452
31-Dec-20,Automobiles & Auto Components,1890
15-Jan-21,Automobiles & Auto Components,15332
31-Jan-21,Automobiles & Auto Components,-7782
15-Feb-21,Automobiles & Auto Components,19773
28-Feb-21,Automobiles & Auto Components,-17116
15-Mar-21,Automobiles & Auto Components,6624
31-Mar-21,Automobiles & Auto Components,-8887
15-Apr-21,Automobiles & Auto Components,-4987
30-Apr-21,Automobiles & Auto Components,-2207
15-May-21,Automobiles & Auto Components,1228
31-May-21,Automobiles & Auto Components,14543
15-Jun-21,Automobiles & Auto Components,4342
30-Jun-21,Automobiles & Auto Components,-902
15-Jul-21,Automobiles & Auto Components,-1702
31-Jul-21,Automobiles & Auto Components,-8196
15-Aug-21,Automobiles & Auto Components,785
31-Aug-21,Automobiles & Auto Components,-1786
15-Sep-21,Automobiles & Auto Components,3086
30-Sep-21,Automobiles & Auto Components,5151
15-Oct-21,Automobiles & Auto Components,14554
31-Oct-21,Automobiles & Auto Components,-10350
15-Nov-21,Automobiles & Auto Components,7684
30-Nov-21,Automobiles & Auto Components,-17066
15-Dec-21,Automobiles & Auto Components,4913
31-Dec-21,Automobiles & Auto Components,-562
31-Jan-22,Automobiles & Auto Components,11771
15-Feb-22,Automobiles & Auto Components,-2400
28-Feb-22,Automobiles & Auto Components,-13954
15-Mar-22,Automobiles & Auto Components,-18501
31-Mar-22,Automobiles & Auto Components,8914
15-Apr-22,Automobiles & Auto Components,4534
15-Jan-20,Banks,
31-Jan-20,Banks,-19103
15-Feb-20,Banks,845
29-Feb-20,Banks,-37237
15-Mar-20,Banks,-89460
31-Mar-20,Banks,-137586
15-Apr-20,Banks,-2548
30-Apr-20,Banks,56736
15-May-20,Banks,-59321
31-May-20,Banks,9015
15-Jun-20,Banks,25120
30-Jun-20,Banks,35724
15-Jul-20,Banks,-5223
31-Jul-20,Banks,9645
15-Aug-20,Banks,11873
31-Aug-20,Banks,58492
15-Sep-20,Banks,-25025
30-Sep-20,Banks,-19827
15-Oct-20,Banks,41537
31-Oct-20,Banks,29071
15-Nov-20,Banks,118240
30-Nov-20,Banks,35001
15-Dec-20,Banks,28308
31-Dec-20,Banks,19134
15-Jan-21,Banks,9928
31-Jan-21,Banks,-44546
15-Feb-21,Banks,150561
28-Feb-21,Banks,-63762
15-Mar-21,Banks,13430
31-Mar-21,Banks,-43332
15-Apr-21,Banks,-28398
30-Apr-21,Banks,8254
15-May-21,Banks,-17787
31-May-21,Banks,78338
15-Jun-21,Banks,-6540
30-Jun-21,Banks,-11525
15-Jul-21,Banks,21910
31-Jul-21,Banks,-41603
15-Aug-21,Banks,44258
31-Aug-21,Banks,5906
15-Sep-21,Banks,6189
30-Sep-21,Banks,16992
15-Oct-21,Banks,40625
31-Oct-21,Banks,-8282
15-Nov-21,Banks,-14293
30-Nov-21,Banks,-74930
15-Dec-21,Banks,12780
31-Dec-21,Banks,-28926
31-Jan-22,Banks,46801
15-Feb-22,Banks,6474
28-Feb-22,Banks,-41736
15-Mar-22,Banks,-44827
31-Mar-22,Banks,28381
15-Apr-22,Banks,23065
15-Jan-20,Capital Goods,
31-Jan-20,Capital Goods,-331
15-Feb-20,Capital Goods,-3637
29-Feb-20,Capital Goods,-11967
15-Mar-20,Capital Goods,-11046
31-Mar-20,Capital Goods,-15222
15-Apr-20,Capital Goods,4897
30-Apr-20,Capital Goods,3783
15-May-20,Capital Goods,-2617
31-May-20,Capital Goods,2446
15-Jun-20,Capital Goods,6083
30-Jun-20,Capital Goods,3725
15-Jul-20,Capital Goods,-696
31-Jul-20,Capital Goods,-394
15-Aug-20,Capital Goods,5941
31-Aug-20,Capital Goods,4313
15-Sep-20,Capital Goods,9103
30-Sep-20,Capital Goods,593
15-Oct-20,Capital Goods,-2614
31-Oct-20,Capital Goods,8208
15-Nov-20,Capital Goods,15166
